username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
murtra_leon,Murtraleón,https://twitter.com/murtra_leon/status/1300494761296629760,"""Nuevo Lanzamiento⭐️

Murtraleón se complace en presentar los nuevos colores neón para cintas poliéster teñida.

Para más información favor de contactar a su ejecutivo de ventas o mandar su mensaje directo a la página.

#Webbing #Cinta #Colores #Color #Poliéster #Polyester… https",2020-08-31 11:04:00,,,1,,0,Webbing | Cinta | Colores | Color | Poliéster | Polyester,6,,https://pbs.twimg.com/media/EgxIpVQX0AQ7nWX.jpg
telasfreigenedo,Almacenes Freigenedo,https://twitter.com/TelasFreigenedo/status/1301493599058698240,"""Tejido de #poliéster y #algodón #gris melagne con reverso en #pelito de color blanco. Punto de #sudadera con tacto muy suave y dócil. Tejido cálido y con caída perfecto para la creación de prendas invernales.
https",2020-09-03 05:13:00,,,0,,0,poliéster | algodón | gris | pelito | sudadera,5,,
telasfreigenedo,Almacenes Freigenedo,https://twitter.com/TelasFreigenedo/status/1300783758036152320,"""Tejido de #poliéster con propiedades #hidrofugas y #antebacterianas. #Microfibra ligera con cierto cuerpo, con una cara suave donde lleva el tratado y otra más áspera, perfecta para la creación de productos #sanitarios. 
https",2020-09-01 06:13:00,1,,0,,0,poliéster | hidrofugas | antebacterianas | Microfibra | sanitarios,5,,
fer___gonzalez,Fer González,https://twitter.com/Fer___Gonzalez/status/1302609130457358336,"""Quiero compartir lo último que he añadido a mi tienda de #etsy",2020-09-06 07:06:00,,,0,,0,etsy,1,,https://pbs.twimg.com/media/EhPMGdfXgAEvB-y.jpg
click_printing,ClickPrinting,https://twitter.com/Click_printing/status/1300742791081885697,"""Descubre la nueva web de ClickPrinting 🔝🔝🔝

👉 Más fácil
👉Más rápida
y adaptada a todas tus necesidades...

https",2020-09-01 03:30:00,1,,0,,0,,0,,https://pbs.twimg.com/media/Eg0qrO5WoAIlvzj.jpg
,,https://twitter.com/murtra_leon/status/1300494764828241923,"""New Release⭐️

Murtraleon is pleased to present the new neon colors for dyed polyester webbing.

For more information please contact your sales executive or send a direct message to the page.

#Webbing #Cinta #Colores #Color #Poliéster #Polyester… https",2020-08-31 11:04:00,,,0,,0,Webbing | Cinta | Colores | Color | Poliéster | Polyester,6,,https://pbs.twimg.com/media/EgxIqfsWoAAzVrh.jpg
click_printing,ClickPrinting,https://twitter.com/Click_printing/status/1300791803080212483,"""Te presentamos la nueva web de ClickPrinting.

Nueva interfaz, más intuitiva, más eficiente, más accesible.

Descúbrenos en

https",2020-09-01 06:45:00,,,0,,0,,0,,
click_printing,ClickPrinting,https://twitter.com/Click_printing/status/1301463740391579648,"""IMPRESIONES DE GRAN FORMATO EN LONAS PUBLICITARIAS PARA EMPRESAS.

https",2020-09-03 03:15:00,,,0,,0,,0,,https://pbs.twimg.com/media/Eg-6X9RWsAEpgW-.jpg
soyjin4,Soy Jin_WH,https://twitter.com/SoyJin4/status/1302105339228192775,"""Quiero leer #Poliester pero quiero leerlo cuando la degu lo termine PERO con los mil rts de la degu me dio curiosidad y no se que hacer ,si no eligen les doy bloq""",2020-09-04 21:44:00,,,2,,0,Poliester,1,,
crh_servicios,Rocío Reina,https://twitter.com/CRH_Servicios/status/1302913014790852608,"""Pulseras de tela de tacto suave, con sistema de cierre ajustable, o inviolable. Personalización a todo color a 1 ó 2 caras. #Pulseras #Eventos #Tela #Poliéster #Conciertos #ControlDeAcceso #Hermandades #Fiestas #Merchandising #ReclamoPublicitario #Lankamp #YouTuber #CRH_Servicios… https",2020-09-07 03:14:00,2,,0,,0,Pulseras | Eventos | Tela | Poliéster | Conciertos | ControlDeAcceso | Hermandades | Fiestas | Merchandising | ReclamoPublicit | Lankamp | YouTuber | CRH_Servicios,13,,https://pbs.twimg.com/media/EhTgcmZWkAAfuUn.jpg
